omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
2.49,5822.8532,-3218.0647,5792.4817,-3612.0264,19.44719519,17.11071267,17.48655881,16.80938533
2.495,5869.5427,-3202.9424,5885.1271,-3614.0735,18.2398511,20.2390664,16.1025409,19.2398656
2.5,5915.1489,-3186.5912,5986.2512,-3606.0665,16.52293359,23.1740586,14.71497441,20.2907694
2.505,5960.4151,-3168.7911,6074.1081,-3589.9983,13.88039809,25.1644602,12.80691591,22.1543998
2.51,6006.2453,-3145.3671,6157.4897,-3571.2146,10.54946824,25.6254211,9.63986176,22.8541469
2.515,6045.3402,-3121.8775,6239.701,-3548.6629,7.08702597,26.63161137,6.81596203,24.99216863
2.52,6078.208,-3095.801,6320.9119,-3520.0757,3.01071464,27.46003658,2.69286676,26.12225342
2.525,6105.3425,-3067.5245,6385.8889,-3481.3735,-1.38223375,27.34319583,-1.36089345,26.70709817
2.53,6120.0213,-3040.3645,6436.7301,-3439.9284,-3.65879859,26.53490044,-4.10915181,26.76608956
2.535,6131.5857,-3014.0685,6469.6743,-3398.8145,-4.6117353,26.65469177,-5.2797227,26.68647423
2.54,6137.7234,-2990.0466,6481.4265,-3362.7762,-6.10550844,27.68232475,-6.93120956,27.48487125
2.545,6140.7179,-2966.3456,6492.3898,-3331.8203,-9.75003533,28.57306957,-10.51097867,28.15564643
2.55,6142.1051,-2944.1362,6504.7652,-3304.3031,-15.4481719,29.52723082,-15.8709541,28.04103718
2.555,6134.7555,-2922.0844,6515.489,-3277.2236,-23.11663783,27.0154346,-23.50553417,27.9724954
2.56,6125.5708,-2905.4185,6523.883,-3254.019,-26.1635741,24.16375134,-27.2702959,24.70863666
2.565,6119.7726,-2889.9608,6537.9663,-3232.6233,-25.05674686,22.56149131,-26.55335114,21.66958069
2.57,6114.5904,-2876.2593,6561.7731,-3204.7315,-24.39211491,22.2717938,-25.62516909,19.9728962
2.575,6112.2717,-2863.6556,6560.672,-3176.6699,-25.62213423,21.4339339,-26.37495577,18.6462221
2.58,6110.2123,-2848.164,6558.7545,-3153.1672,-27.23729693,20.0390719,-27.27368507,17.8377361
2.585,6095.7225,-2833.6202,6551.1096,-3131.1849,-26.49497271,17.58546159,-26.54372329,16.19541441
2.59,6078.0569,-2823.1069,6537.0822,-3113.8688,-23.77475939,16.03676133,-23.85928061,14.89835267
2.595,6059.4027,-2814.908,6528.6951,-3102.9409,-20.5116808,15.09103587,-20.7025332,14.35357613
2.6,6040.4738,-2808.6307,6532.2827,-3093.3442,-17.53800089,15.14616729,-17.86596111,14.02733471
2.605,6011.4207,-2804.1877,6543.9103,-3082.3428,-15.36291234,15.56200846,-15.79911566,14.54232354
2.61,5983.0672,-2807.4329,6561.571,-3066.663,-14.0081591,16.4777418,-14.4820369,14.5018282
2.615,5962.8352,-2814.5578,6561.2623,-3047.5731,-13.58073194,17.2932061,-13.83458606,15.1611319
2.62,5947.6853,-2824.1797,6554.0168,-3035.8047,-13.92965148,18.1216392,-14.02369652,15.7230508
2.625,5941.3042,-2835.6239,6554.6425,-3027.4443,-14.82467226,18.8764682,-14.73973974,16.1934918
2.63,5941.295,-2848.0588,6573.5609,-3016.4772,-16.28028382,19.3653424,-15.94443818,16.4785516
2.635,5948.9754,-2861.1662,6571.4198,-3000.7484,-17.81008223,19.4640225,-17.28595977,16.4662955
2.64,5962.7921,-2872.9956,6574.4516,-2985.433,-18.57074839,20.0348075,-17.70908761,16.3842045
2.645,5978.7281,-2883.9562,6560.108,-2972.2921,-20.94454815,19.6945163,-19.60238585,16.9495897
2.65,5995.4779,-2894.797,6543.1831,-2965.1244,-22.2133853,19.2509628,-20.4770027,16.8086792
2.655,6017.4257,-2905.8503,6530.7495,-2963.9346,-23.06719962,18.32933282,-21.20921838,17.41445318
2.66,6044.8709,-2915.6179,6529.9018,-2965.2689,-23.03898225,18.04670145,-21.11111375,18.01784655
2.665,6070.1433,-2922.1224,6538.9222,-2968.0287,-24.81786004,18.24055768,-23.00169596,19.50942232
2.67,6094.2023,-2930.4598,6559.5145,-2968.9573,-27.42818896,18.00435312,-25.99546304,19.91740488
2.675,6119.9815,-2937.837,6584.2693,-2966.5736,-29.8325028,17.4145666,-28.8812672,19.6709234
2.68,6144.6686,-2944.9006,6613.2579,-2964.2589,-32.11332731,17.01858292,-31.48709269,18.46702708
2.685,6167.6566,-2952.0562,6635.2225,-2955.8924,-33.00215105,15.77711199,-32.11771895,17.02444601
2.69,6191.2879,-2960.2448,6664.9657,-2954.9086,-33.05781347,14.83762316,-32.20313453,16.57653084
2.695,6215.0071,-2968.3536,6707.7242,-2950.69,-32.35221425,13.7965496,-31.71848575,16.2327824
2.7,6239.8995,-2977.7006,6753.6497,-2941.0228,-30.99416124,13.5217393,-30.81357076,16.0063147
2.705,6267.9584,-2987.7416,6800.5139,-2925.2933,-30.38161608,14.0515436,-30.54255392,16.0714444
2.71,6298.6715,-2997.9941,6830.5041,-2905.4741,-30.41272428,14.4200934,-30.62851372,15.8565186
2.715,6332.8594,-3008.1327,6846.3379,-2884.5323,-30.94634438,15.2335184,-30.93574362,16.2661516
2.72,6367.8398,-3017.2045,6862.1147,-2870.8704,-33.09370029,15.1049395,-32.96868371,17.2536065
2.725,6404.6608,-3027.1104,6888.3621,-2856.1968,-35.05246335,15.0902575,-35.39425665,17.3572585
2.73,6445.6805,-3037.1248,6911.6341,-2836.2382,-37.22989919,15.37401337,-38.00552281,16.86787263
