case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_b_Tension_0.5pct,b,0.5,0.027161898000000073,-0.1282062518749999,0.0,0.8519937708611831,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.03104052200000007,-0.1282062518749999,0.0,0.788251158814858,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.03491914600000007,-0.1282062518749999,0.0,0.7233413014896071,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.038797770000000065,-0.1282062518749999,0.0,0.6622738905298982,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.04267639400000006,-0.1282062518749999,0.0,0.6091356352924189,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.04655501800000006,-0.1282062518749999,0.0,0.5663549916410657,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.050433642000000056,-0.1282062518749999,0.0,0.5337842430859823,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.05431226600000005,-0.1282062518749999,0.0,0.507573457536564,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.05819089000000005,-0.1282062518749999,0.0,0.4788685184497319,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.06206951400000005,-0.1282062518749999,0.0,0.4324931538663801,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.06594813800000005,-0.1282062518749999,0.0,0.3459877087826624,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.06982676200000004,-0.1282062518749999,0.0,0.18963533919393272,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.07370538600000004,-0.1282062518749999,0.0,-0.07175624158192306,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.07758401000000004,-0.1282062518749999,0.0,-0.474874424309651,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.08146263400000003,-0.1282062518749999,0.0,-1.0524957507146977,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.08534125800000003,-0.1282062518749999,0.0,-1.8297233812113538,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.08921988200000003,-0.1282062518749999,0.0,-2.8279753206895544,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.09309850600000003,-0.1282062518749999,0.0,-4.086440649975714,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.09697713000000002,-0.1282062518749999,0.0,-5.717722607077361,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.10085575400000002,-0.1282062518749999,0.0,-8.03577428536071,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.10473437800000002,-0.1282062518749999,0.0,-11.85361217287447,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.10861300200000001,-0.1282062518749999,0.0,-19.144841770535656,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.11249162600000001,-0.1282062518749999,0.0,-33.958897855708116,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.11637025000000001,-0.1282062518749999,0.0,-60.31360754622632,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.120248874,-0.1282062518749999,0.0,-89.84557158105733,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.124127498,-0.1282062518749999,0.0,-100.16004556858339,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.128006122,-0.1282062518749999,0.0,-84.7793019287728,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.131884746,-0.1282062518749999,0.0,-58.023741459399254,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.13576337,-0.1282062518749999,0.0,-35.24627305329591,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.139641994,-0.1282062518749999,0.0,-20.949566482144228,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.143520618,-0.1282062518749999,0.0,-12.966873786724186,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.14739924199999999,-0.1282062518749999,0.0,-8.508530113729908,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.15127786599999998,-0.1282062518749999,0.0,-5.82889124987842,56,fixed_k3
