state,lambda_nm,theta_deg,r_pp_real,r_pp_imag,abs_r_pp,arg_r_pp_deg,r_ss_real,r_ss_imag,abs_r_ss,arg_r_ss_deg,r_ps_real,r_ps_imag,abs_r_ps,arg_r_ps_deg,r_sp_real,r_sp_imag,abs_r_sp,arg_r_sp_deg
0%,740.0999999999999,70.5,0.00015116676888331243,-0.06844635111919097,0.06844651804820745,-89.87345996337443,-0.7851545586424274,0.08206554300399188,0.7894317160499222,174.03302468155604,0.0018743323955588201,0.0008621070823518158,0.002063092472596036,24.700264963956375,0.0017919922969466368,0.0009131031369853672,0.0020112169776253883,27.00095075921642
0%,741.05,70.5,0.00011583749524241288,-0.06832042381108792,0.06832052201243763,-89.90285491721689,-0.7850288807727612,0.08233355365703994,0.7893346297389535,174.01272753197588,0.0018852789679995373,0.0007894236901288199,0.0020438851605992943,22.72054459695937,0.001803597721782238,0.0008444370040209724,0.001991491550516345,25.08879947269106
0%,742.0,70.5,2.5570223785566112e-05,-0.06824145159144787,0.06824145638205759,-89.97853114490702,-0.7849097900679538,0.08256344420241779,0.7892402047938797,173.9952276138176,0.0018640224466172002,0.0007009825552965015,0.001991470869564199,20.609226006731266,0.0017887984588089842,0.0007545756511947833,0.0019414387292967625,22.87166122814453
0%,742.95,70.5,-0.00014907020489678892,-0.0680453910396929,0.06804555432701467,-90.12552032984624,-0.7848099236827055,0.08276733301108186,0.7891622442341127,173.97974733785136,0.0018184003138977554,0.0006362506188407635,0.0019264980019607365,19.28472697978996,0.0017501037323767502,0.0006838470145940148,0.0018789650910669357,21.34290190076526
0%,743.9,70.5,-0.0005012860616005813,-0.0676373081009816,0.06763916568721606,-90.42463324758775,-0.7847201119250518,0.0829510027239039,0.7890922144544115,173.96580073429146,0.00174284053313315,0.0005733513439427422,0.001834727469553119,18.20992430846903,0.0016794695311896184,0.0006135673848640227,0.001788038825630795,20.068969247486788
0%,744.8499999999999,70.5,-0.0007501267905000248,-0.06716381541553233,0.06716800422354027,-90.6398878923343,-0.7846755498991321,0.08309817431953985,0.789063384770036,173.9548333137185,0.0016802330940392104,0.0005222344535556727,0.0017595204104485886,17.26580462060918,0.001621364921400261,0.0005560515791851163,0.0017140646332800685,18.929546612222307
0%,745.8,70.5,-0.0009024540066673073,-0.0666456612751402,0.06665177109450934,-90.77579912648612,-0.7846586124813478,0.08322823120294343,0.789060249036995,173.94531252917082,0.001631011623263921,0.0004830264503219391,0.001701033058741841,16.49673156445995,0.0015810289097374002,0.0005089070239570044,0.0016609150407104535,17.842507332074575
0%,746.75,70.5,-0.00101725739548759,-0.06608878105030715,0.06609660954484815,-90.88184336576583,-0.7846788753825038,0.0833303959828991,0.7890911812751539,173.93809093022705,0.001599474898695058,0.0004509459457612129,0.0016618279687001423,15.744935273677909,0.0015497854925253277,0.00047458190119124155,0.001620821721775799,17.02585850370992
0%,747.7,70.5,-0.0009734280639042209,-0.06548900451636473,0.06549623863047432,-90.8515813179733,-0.7848262273458737,0.08331237292864305,0.7892358067225272,173.9405216859809,0.0015954769703778304,0.0004210180488601124,0.001650091803649723,14.78237029473324,0.0015298587598977776,0.0004579383530053376,0.0015969268487908916,16.664216201428363
0%,748.65,70.5,-0.0007068858547145415,-0.06485392071167181,0.06485777300591973,-90.624479936516,-0.785068666420224,0.08321898657491955,0.789467042200867,173.94911870915186,0.0015988833829142894,0.00038541009355164027,0.0016446789997962904,13.552578497232469,0.0015132040044150495,0.00044528092858232393,0.0015773590156767982,16.39723917824814
0%,749.5999999999999,70.5,-0.0003313617853310511,-0.06428654566361248,0.06428739965181754,-90.29532561532257,-0.7852114417068713,0.08331352667164964,0.7896189916116829,173.9433890359683,0.00158333835195187,0.0003344451251060763,0.00161827496998158,11.927140587436758,0.001480670850441755,0.0004147501020179593,0.0015376618010706443,15.648068746261258
0%,750.55,70.5,0.0002867186252117607,-0.06373143737582664,0.0637320823256149,-89.74223621843342,-0.7853726825047307,0.08359882885304801,0.7898094799445482,173.92404182396103,0.0015019509861620333,0.00023849719236764626,0.0015207687778227017,9.022755916455608,0.0014112182529160582,0.00033602592308257657,0.0014506723883589117,13.393326790359174
