state,lambda_nm,scenario,theta_deg,abs_r_pp,arg_r_pp_deg,abs_r_ss,arg_r_ss_deg,abs_r_ps,arg_r_ps_deg,abs_r_sp,arg_r_sp_deg
a +0.5%,405.7,replace_xy,70.5,0.27459766452725615,-14.141071931401092,0.8495309842203091,178.03175066306082,0.0005423452790503572,74.98303908768966,0.0004014797257831716,92.69718669665572
a +0.5%,405.7,replace_yx,70.5,0.2745977792431106,-14.1410577561086,0.8495310096039268,178.03175143160388,0.000385197319840455,91.62465278750308,0.0005254567670308827,72.34204611471063
a +0.5%,405.7,replace_yy,70.5,0.27459743214468463,-14.14092872041455,0.8485492914917047,177.96276025752383,0.0005465343050990834,75.2701695868841,0.0005295154417051773,72.6291786400452
a +0.5%,405.7,nonlinear_residual,70.5,2.634272522457702e-07,61.99410633724257,,,,,,
a +0.5%,405.7,nonlinear_residual,70.5,,,5.536675656961834e-08,-116.47354556789583,,,,
a +0.5%,405.7,nonlinear_residual,70.5,,,,,1.0759799925196073e-06,-158.35806184738544,,
a +0.5%,405.7,nonlinear_residual,70.5,,,,,,,1.0684640279399163e-06,-172.01709019079865
a +0.5%,406.65,baseline,70.5,0.27362055696749216,-14.379703206464894,0.8496900001556718,178.048942542031,0.0006049498395240767,70.33683999674103,0.0005565982962590948,65.87807060878811
a +0.5%,406.65,full,70.5,0.27452757431860264,-13.245925628294545,0.8480976018832241,177.96545785810997,0.0004320654304017848,83.82281934998721,0.0005087513783417193,85.46899501406403
a +0.5%,406.65,replace_xx,70.5,0.2745273587269551,-13.245665004600783,0.8496900034497222,178.0489425986437,0.0006028060485075611,69.96060515859034,0.000554625851025839,65.50183577063743
a +0.5%,406.65,replace_xy,70.5,0.27362036971902487,-14.379853453430114,0.8496899436693115,178.04893286165512,0.0006049501819257651,70.33688755712515,0.0005045479739514598,85.53121097704755
a +0.5%,406.65,replace_yx,70.5,0.27362084284944893,-14.379853759798602,0.8496900413604289,178.04893204939282,0.000428495362088742,83.88504777802765,0.0005565982756766659,65.87813063422918
a +0.5%,406.65,replace_yy,70.5,0.2736205291930158,-14.379701617108381,0.8480975702860083,177.9654759730704,0.0006121592462435715,70.65080747863412,0.0005632314800950748,66.1920380906812
a +0.5%,406.65,nonlinear_residual,70.5,2.5059513821036214e-07,33.08789691552856,,,,,,
a +0.5%,406.65,nonlinear_residual,70.5,,,5.266954910822595e-08,-147.0454932340199,,,,
a +0.5%,406.65,nonlinear_residual,70.5,,,,,1.7631054594982194e-06,-143.56526200355623,,
a +0.5%,406.65,nonlinear_residual,70.5,,,,,,,1.5310085598939925e-06,174.79104868125157
a +0.5%,407.6,baseline,70.5,0.272843952376946,-14.61649546169037,0.8500203270476179,178.0607794880903,0.0006298154669493539,66.50402970741241,0.0005813932949451806,64.41829987933211
a +0.5%,407.6,full,70.5,0.27401527957876487,-13.508959834685042,0.8477311377043915,177.973011374866,0.0005471499472562106,74.61499073007191,0.0005856182906518954,69.18627635175096
a +0.5%,407.6,replace_xx,70.5,0.2740153752919586,-13.508835794266702,0.8500203306584165,178.06077951201922,0.0006273898643200809,66.14638181442774,0.0005791541801903596,64.06065198634744
a +0.5%,407.6,replace_xy,70.5,0.2728438243995797,-14.616528268814346,0.8500202966772942,178.0607775469814,0.0006298156148797206,66.50403770293477,0.0005783597202243029,69.26405666381032
a +0.5%,407.6,replace_yx,70.5,0.2728439983700144,-14.616592397856003,0.8500203245152128,178.06077301014633,0.0005403681375656133,74.69279789397842,0.0005813933848879105,64.41833472670162
a +0.5%,407.6,replace_yy,70.5,0.2728439162745853,-14.616491346546333,0.8477311588602783,177.97302000046665,0.0006401852924142455,66.78386148916384,0.0005909658559752269,64.69813166108354
a +0.5%,407.6,nonlinear_residual,70.5,3.4017769758273645e-08,-9.07398871861673,,,,,,
a +0.5%,407.6,nonlinear_residual,70.5,,,8.503367454058342e-09,157.09860239313474,,,,
a +0.5%,407.6,nonlinear_residual,70.5,,,,,1.5048770790103562e-06,-156.16453546982993,,
a +0.5%,407.6,nonlinear_residual,70.5,,,,,,,5.497186913976304e-07,156.08207170849008
a +0.5%,408.55,baseline,70.5,0.27220146342273643,-14.838475898953709,0.8503702743270503,178.06337657077725,0.0006797316408545981,60.4667939268213,0.0006651657035513358,59.71943321169706
a +0.5%,408.55,full,70.5,0.27358474868989474,-13.743143912145012,0.8476702868075197,177.99400974981714,0.0006526789248540866,68.19285200993761,0.0006058032161812683,60.053964007970386
a +0.5%,408.55,replace_xx,70.5,0.27358484274766315,-13.743026481420962,0.850370278740247,178.06337652990973,0.0006769331370713744,60.12120633919527,0.0006624271687738186,59.373845624071016
a +0.5%,408.55,replace_xy,70.5,0.27220161312583624,-14.838531517346587,0.8503702978855215,178.06337265491334,0.0006797315958251272,60.46681712712676,0.0005971292972902461,60.25100672214894
a +0.5%,408.55,replace_yx,70.5,0.272201248200754,-14.838553779593148,0.8503702203303889,178.06337185585943,0.0006433341667651963,68.38989263157605,0.0006651660000647926,59.7194543194624
