omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.965,3134.3018,-2356.6714,3634.0415,-3409.4067,-8.05857952,-2.18153031,-6.07487868,-1.28894609
1.97,3157.0772,-2375.759,3648.7511,-3406.2186,-7.90635684,-2.9878722,-6.39717196,-0.1801544
1.975,3182.1052,-2394.5684,3656.5655,-3402.7489,-7.63268031,-1.48499192,-6.64063989,-1.48528068
1.98,3208.4843,-2413.4723,3661.9367,-3404.2312,-7.96307831,-1.9133333,-6.34884789,-0.7583467
1.985,3237.3628,-2431.8177,3671.952,-3407.3094,-8.26467478,-2.02875329,-6.57439362,-0.31599671
1.99,3267.9069,-2448.908,3680.3819,-3409.6852,-8.59972305,-2.07090548,-6.96786835,-0.0861771199999999
1.995,3297.1885,-2464.4802,3685.3693,-3415.4603,-9.00305057,-2.28168064,-7.26851123,0.36697956
2,3324.8721,-2480.1485,3693.528,-3423.3756,-9.35299494,-2.37543017,-7.86842286,0.48704783
2.005,3353.1905,-2496.2407,3704.356,-3433.0108,-9.61750693,-2.48381849,-8.19781427,0.55210231
2.01,3383.5042,-2512.2683,3718.7976,-3443.8419,-9.89079338,-2.59343447,-8.52000142,0.64330553
2.015,3416.1134,-2527.7093,3737.119,-3454.6369,-10.11269854,-2.7273199,-8.95496846,0.5894443
2.02,3451.1153,-2542.4476,3759.359,-3466.3415,-10.40688418,-2.7688766,-9.25308662,0.5833862
2.025,3489.5008,-2555.9313,3786.3162,-3476.9697,-10.6544632,-2.8767496,-9.5232808,0.576287
2.03,3531.3717,-2566.7597,3811.83,-3485.4607,-10.70723803,-2.9777442,-9.59468197,0.6923694
2.035,3571.7812,-2573.5709,3838.0448,-3494.9813,-11.11131902,-3.1969243,-9.98197898,0.7963983
2.04,3605.3424,-2580.5639,3868.7394,-3504.4373,-10.90770281,-3.8085663,-9.79473519,1.2326933
2.045,3642.0599,-2589.0679,3905.3769,-3512.7302,-10.6503742,-4.2924144,-9.8098378,1.8680202
2.05,3688.3102,-2595.9352,3948.5034,-3517.4289,-10.11331891,-5.90749019,-10.29135109,4.01702001
2.055,3735.1317,-2597.0033,3987.437,-3515.4122,-9.7886967,-2.40658535,-13.2627913,1.53621305
2.06,3788.3292,-2596.5299,4016.1245,-3510.615,-12.5059429,-2.2568889,-14.9680031,0.9887855
2.065,3851.4272,-2586.629,4029.0675,-3505.4337,-13.7545725,-2.18951477,-16.0704255,-0.61751543
2.07,3901.8617,-2569.5229,4033.9507,-3506.4292,-14.1777204,-2.32619081,-16.4547816,-1.50756899
2.075,3967.2012,-2541.4579,4042.6339,-3511.3292,-14.60409973,-2.79873712,-16.37716827,-3.09145408
2.08,3990.0787,-2491.486,4057.2661,-3517.5683,-15.39230058,-2.99960207,-17.09077742,-3.84143973
2.085,3947.9518,-2450.2112,4077.8664,-3523.349,-14.89383968,-4.14605704,-16.28500032,-4.98283876
2.09,3886.6603,-2431.3206,4097.7751,-3526.4105,-13.40522098,-4.98044842,-15.00610502,-5.53113998
2.095,3832.9959,-2423.8698,4113.6541,-3532.8939,-11.96975072,-4.89793765,-12.93688128,-5.85200795
2.1,3785.9836,-2421.6309,4137.1837,-3540.8541,-11.2780254,-5.68237782,-12.1003046,-4.91630038
2.105,3729.8955,-2423.1907,4166.7084,-3548.8133,-11.06042492,-4.8568436,-12.32708308,-5.736509
2.11,3683.6088,-2435.5982,4204.7456,-3555.8988,-10.36054246,-5.13164289,-11.09622554,-5.83028791
2.115,3648.7146,-2454.1586,4251.3287,-3558.3347,-9.10314842,-4.90071897,-9.45117938,-5.46878703
2.12,3627.7045,-2475.0446,4288.3214,-3555.7994,-8.93104059,-4.88933487,-9.12975841,-4.11424713
2.125,3616.4178,-2496.1457,4317.4957,-3552.0799,-9.48941456,-4.64628174,-10.00886284,-3.32789986
2.13,3611.0894,-2517.1161,4340.0667,-3549.8965,-10.38736479,-4.90231759,-11.14777321,-4.05325521
2.135,3613.4185,-2538.7102,4362.5575,-3550.6351,-10.08599399,-4.86478685,-10.87746801,-4.23200895
2.14,3626.098,-2558.5436,4390.7081,-3552.1351,-10.02651128,-4.77400157,-10.88185672,-4.11209183
2.145,3642.8611,-2573.5465,4425.8525,-3551.4288,-10.41218586,-4.9548067,-11.33742414,-4.3833659
2.15,3647.8086,-2584.8054,4456.1107,-3546.1717,-10.06448996,-5.09157943,-11.11300404,-4.44322417
2.155,3646.3766,-2600.3241,4478.4343,-3542.3565,-10.13215818,-4.99732956,-11.31330982,-4.63920584
2.16,3648.8641,-2618.4325,4502.9983,-3540.1264,-10.06127605,-4.99266097,-11.16428795,-4.81958883
2.165,3654.4929,-2635.8836,4532.2336,-3537.5889,-10.05381644,-5.26254106,-11.20952156,-4.93318374
2.17,3659.4514,-2655.4143,4563.4157,-3532.3733,-9.35297699,-5.46541525,-10.62560921,-5.29297655
2.175,3669.6309,-2675.1549,4590.6207,-3524.3634,-7.82592858,-5.22838668,-9.27320622,-5.24641412
2.18,3682.2779,-2694.9337,4609.8034,-3515.3827,-7.40083605,-4.0486174,-8.88421135,-4.8759886
2.185,3697.8675,-2714.3702,4629.11,-3507.0815,-8.64725829,-3.35036807,-10.09692931,-4.24311973
2.19,3716.1517,-2733.1918,4647.2814,-3496.3727,-10.25271299,-3.1706617,-11.74769701,-4.7531547
2.195,3738.0907,-2750.6153,4653.4288,-3481.0744,-11.44107092,-3.98051806,-12.77710508,-4.76283094
2.2,3758.3512,-2765.0592,4650.6515,-3472.962,-11.5147039,-4.32264378,-13.6499581,-5.46051982
2.205,3774.8119,-2777.551,4657.6848,-3464.2559,-10.5709803,-3.7252409,-12.8042897,-6.7929559
2.21,3782.7543,-2789.8973,4647.9843,-3448.9174,-10.5155058,-2.5061658,-12.4091422,-7.045919
2.215,3785.1547,-2805.3023,4612.3892,-3444.8763,-12.53502019,-1.865552,-13.70658581,-7.2501636
2.22,3788.5193,-2824.2888,4590.6214,-3451.5347,-14.48418768,-2.509612,-14.86304632,-7.6617468
2.225,3796.4891,-2845.1159,4581.7304,-3461.6265,-14.76840086,-3.3802468,-15.19596114,-8.6244876
2.23,3811.9675,-2867.2353,4590.069,-3474.2063,-14.48937741,-4.2179223,-14.65074259,-9.1661007
2.235,3837.0493,-2887.0441,4639.9064,-3471.8847,-14.06397806,-4.6406376,-13.85974394,-9.7431578
2.24,3860.9444,-2904.664,4607.0527,-3453.7638,-14.55147468,-6.1279746,-13.87706132,-9.514198
2.245,3886.9865,-2920.6167,4588.9814,-3464.1163,-13.60121009,-7.3518035,-13.08657591,-10.1742131
2.25,3909.6143,-2935.2506,4588.33,-3477.6572,-10.77395712,-8.4204495,-10.64383488,-10.4305345
2.255,3928.522,-2949.1111,4597.142,-3491.7712,-7.60640526,-7.7772637,-7.55645234,-9.9863781
2.26,3941.5093,-2965.6378,4614.5484,-3505.2598,-6.82807231,-7.98374813,-7.36177249,-8.13972867
2.265,3962.5517,-2980.4833,4643.2332,-3517.1823,-7.10250854,-6.74257133,-8.53807906,-8.48190127
2.27,3979.8143,-2997.1826,4675.6282,-3525.014,-8.01068585,-6.0523197,-9.76620235,-9.6696881
2.275,3999.2742,-3016.9351,4705.7696,-3532.5314,-7.0216986,-5.6923064,-9.0581032,-10.2910788
2.28,4027.6837,-3037.976,4743.7264,-3539.0965,-7.1984777,-4.3814449,-9.3347473,-11.9246523
2.285,4063.9678,-3058.6981,4782.2141,-3542.3097,-7.03899273,-3.2052404,-7.98370787,-13.6853078
2.29,4107.6244,-3077.2411,4819.9877,-3544.3122,-6.66922875,-3.4747172,-6.52641845,-13.4670148
2.295,4155.6555,-3092.9662,4857.2975,-3546.1577,-5.61698075,-2.5095408,-5.60995645,-13.9068554
2.3,4209.2684,-3102.8845,4907.4591,-3546.4256,-6.60340379,1.4807395,-5.14657161,-17.5497861
2.305,4257.0037,-3108.4113,4958.2057,-3535.0978,-9.5913534,2.1400463,-1.7579126,-18.4696897
2.31,4286.6348,-3113.0683,4979.6431,-3517.8547,-9.3008138,-5.5767709,0.2021484,-10.1858775
2.315,4317.5245,-3120.493,4977.4855,-3508.1236,-8.4626733,-6.1186015,-1.4143125,-8.8138193
2.32,4348.8691,-3127.8152,4977.8118,-3506.5869,-9.0419283,-5.8302885,-2.0293043,-8.7045185
2.325,4373.4797,-3135.874,4984.806,-3508.4584,-9.7017958,-7.14341183,-2.751476,-7.48669897
2.33,4399.6929,-3147.5679,4993.8869,-3511.1185,-9.6261111,-8.5534238,-3.1764897,-6.447913
