omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
3.43,8992.4095,649.13228,8916.4945,-328.32265,-22.90892945,-29.0452035,-22.04892055,-25.7760365
3.435,8876.874,665.39731,8873.7524,-304.66678,-23.25796568,-28.998144,-22.37728032,-25.382202
3.44,8760.8789,668.30903,8832.6385,-282.15661,-23.24294629,-29.3958247,-22.78171171,-24.5065993
3.445,8662.1278,662.46541,8785.2502,-262.4663,-23.8697201,-29.0472909,-24.1605199,-24.3191231
3.45,8580.2489,651.53111,8731.902,-249.04486,-26.3681687,-28.1008292,-27.5609233,-25.6889768
3.455,8514.6936,638.03943,8691.6747,-244.68537,-28.32842009,-28.3723575,-28.98565391,-27.8872905
3.46,8455.275,622.50252,8664.753,-239.62151,-28.62263665,-29.08191571,-29.00769735,-29.12303629
3.465,8411.2198,602.549,8641.4677,-238.60526,-29.20692317,-29.81093343,-29.08678683,-30.69924857
3.47,8385.6477,581.58371,8637.2382,-239.82014,-29.98991855,-31.51496792,-29.42333945,-30.73766008
3.475,8373.2282,562.91719,8645.1044,-237.34544,-29.2194555,-32.74937061,-29.4642645,-32.66849739
3.48,8376.4949,543.76895,8660.6831,-229.13087,-27.31370689,-34.08729276,-27.63910111,-34.15100124
