case_label,eps_percent,pair_n_1based,pair_m_1based,node1_chirality,node2_chirality,point_index,delta_k_frac,band_n_index,band_m_index,band_56_raw_HR_E_eV,band_57_raw_HR_E_eV,band_n_energy_eV,band_m_energy_eV,energy_reference,pair_distance_frac,node1_delta_k_frac,node2_delta_k_frac,node1_E_minus_EF_eV,node2_E_minus_EF_eV,fermi_energy_eV,case_short,selected_pair_id,family_plus,family_minus,band_energy_reference
00_Optimized_Structure,0.0,56,57,1,-1,155,0.038836453423802,56,57,8.562441006021196,8.583097637777152,8.562441006021196,8.583097637777152,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,156,0.0394339373226297,56,57,8.562173255308316,8.583998490181953,8.562173255308316,8.583998490181953,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,157,0.0400314212214574,56,57,8.561906974660253,8.584893261301968,8.561906974660253,8.584893261301968,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,158,0.0406289051202851,56,57,8.561642209975457,8.585781827812157,8.561642209975457,8.585781827812157,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,159,0.0412263890191129,56,57,8.561379001782454,8.586664040296329,8.561379001782454,8.586664040296329,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,160,0.0418238729179406,56,57,8.561117385599665,8.587539712977406,8.561117385599665,8.587539712977406,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,161,0.0424213568167683,56,57,8.560857392239708,8.58840860884808,8.560857392239708,8.58840860884808,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,162,0.043018840715596,56,57,8.56059904806882,8.589270417665704,8.56059904806882,8.589270417665704,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,163,0.0436163246144238,56,57,8.5603423752304,8.590124722624195,8.5603423752304,8.590124722624195,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,164,0.0442138085132515,56,57,8.560087391839604,8.590970948639495,8.560087391839604,8.590970948639495,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,165,0.0448112924120792,56,57,8.55983411215476,8.59180828011333,8.55983411215476,8.59180828011333,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
