path,strain_percent,case_label,case_short,family_id,pair_id,chirality,k1_centered,k2_centered,k3_centered,tilt_ratio,tilt_ratio_window_min,tilt_ratio_window_max,tilt_ratio_window_std,typeII_flag,typeII_window_all,mean_cone_slope_eV_per_reduced_dk,condition_G,stability_indicator,recommended_usage
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F08,a_pair_04,1,0.12964792,0.04801133,-0.0050432900000001,2.238614413674717,2.2386095504746315,2.2386141096108116,1.969728537892682e-06,True,True,1.1631235727093217,324.61209914998034,0.055503152157736185,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F01,a_pair_02,-1,-0.12989366,0.04937033,0.00445457,2.3583895126613448,2.3583669303037333,2.3583881010850547,9.146756313140159e-06,True,True,1.1736479554761363,308.12720408819825,0.056968525435543794,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F02,a_pair_03,-1,-0.1232338400000001,-0.1053622,0.0062383,1.2277802251536276,1.2277632332779336,1.2277791631113095,6.882456197552949e-06,True,True,1.008483221988372,353.3567632854858,0.053197753886073416,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F03,a_pair_04,-1,0.12323488,0.1053715899999999,-0.0065629,1.2355092554420024,1.235492927636756,1.2355082349049684,6.613477747398682e-06,True,True,1.0080438586799898,352.93638639895903,0.053229425954877695,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F04,a_pair_01,-1,0.12987322,-0.04943929,-0.00437752,2.3614765960548922,2.3614537026204507,2.361475165034299,9.272756045804308e-06,True,True,1.1731110891967338,307.18543504611165,0.05705578565277992,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F05,a_pair_03,1,-0.1299128999999999,-0.0488380299999999,0.00473405,2.263434778560809,2.263431175660993,2.2634345532623232,1.45924698987217e-06,True,True,1.159744016383067,313.6410021851436,0.05646555270808535,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F06,a_pair_02,1,-0.1229582799999999,0.1053645699999999,0.0088372599999999,1.2184599676933447,1.2184443489222814,1.218458991461363,6.3262780513982105e-06,True,True,1.0480702509335724,277.58384100777874,0.060020956145049674,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F07,a_pair_01,1,0.12294022,-0.1054098999999999,-0.00883962,1.2113733396492048,1.211357226084457,1.2113723324939443,6.526692225163649e-06,True,True,1.048128979358115,278.23029735543116,0.05995118751675527,supplementary
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F08,a_pair_04,1,0.12991882,0.04877149,-0.0048355500000001,2.257569946305426,2.2575665620865935,2.2575697346755463,1.3706717435100398e-06,True,True,1.1601823819115142,313.6473355053133,0.05646498261519965,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F01,a_pair_02,-1,-0.13007221,0.0505813499999999,0.0031733499999999,2.3954966510591906,2.395472070399482,2.3954951145716343,9.956147773093572e-06,True,True,1.1677525541180727,297.4962556447888,0.057977468420571054,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F02,a_pair_03,-1,-0.12348585,-0.1064928899999999,0.00534341,1.182527808397684,1.182511687785644,1.1825268008109284,6.5295553014949795e-06,True,True,1.0052541259670669,312.1796336900402,0.05659756105694828,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F03,a_pair_04,-1,0.1234850699999999,0.1064381599999999,-0.00567607,1.1775049711668624,1.1774893210035833,1.1775039929828648,6.339002111735683e-06,True,True,1.0090582897042775,313.11631684806423,0.056512842237716916,supplementary
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F04,a_pair_01,-1,0.1300601,-0.05068139,-0.0032869199999998,2.401009138384175,2.400984221810106,2.4010075809021307,1.0092208535911534e-05,True,True,1.167227268876527,297.0718841669161,0.058018864467709166,supplementary
