omega_eV,Re,Im
3.25000000,8987.62600000,-1698.79440000
3.25500000,9015.02820000,-1652.80390000
3.26000000,9038.19480000,-1606.39660000
3.26500000,9050.62640000,-1563.14260000
3.27000000,9063.79420000,-1523.36860000
3.27500000,9082.24010000,-1482.95430000
3.28000000,9093.60210000,-1435.65470000
3.28500000,9090.31620000,-1398.20960000
3.29000000,9099.37510000,-1365.24900000
3.29500000,9115.36200000,-1333.61830000
3.30000000,9144.37210000,-1300.94920000
3.30500000,9183.40370000,-1262.09950000
3.31000000,9217.00030000,-1212.01810000
3.31500000,9220.72060000,-1156.73000000
3.32000000,9197.94990000,-1110.17910000
3.32500000,9174.73520000,-1073.75250000
3.33000000,9165.15490000,-1040.47850000
3.33500000,9149.83650000,-1012.16550000
3.34000000,9153.78090000,-988.11323000
3.34500000,9169.66530000,-964.23614000
3.35000000,9203.50650000,-935.21083000
3.35500000,9240.78220000,-898.94009000
3.36000000,9276.67150000,-853.87043000
3.36500000,9302.91960000,-802.27306000
3.37000000,9312.44720000,-749.32421000
3.37500000,9309.21370000,-696.08797000
3.38000000,9290.99200000,-647.55086000
3.38500000,9275.61200000,-607.80100000
3.39000000,9275.17360000,-567.56888000
3.39500000,9273.97380000,-522.67914000
3.40000000,9264.27000000,-481.52636000
3.40500000,9257.17570000,-438.56145000
3.41000000,9240.80160000,-392.70081000
3.41500000,9207.18980000,-349.15644000
3.42000000,9167.86110000,-311.31449000
3.42500000,9130.10830000,-277.71469000
3.43000000,9087.76780000,-243.44430000
3.43500000,9032.62180000,-214.37809000
3.44000000,8974.93890000,-195.20930000
3.44500000,8929.72010000,-181.68417000
3.45000000,8892.80130000,-170.15418000
3.45500000,8861.53510000,-159.67621000
3.46000000,8827.84960000,-147.74525000
3.46500000,8803.15260000,-144.38559000
3.47000000,8789.12780000,-142.17175000
3.47500000,8784.70560000,-140.12459000
3.48000000,8789.17260000,-137.30965000
3.48500000,8799.42360000,-132.88688000
3.49000000,8815.95850000,-128.12600000
3.49500000,8841.79500000,-121.79179000
3.50000000,8878.10710000,-112.37561000
